,importance
nh_area_new_house_available_for_sale_diff12,1983572832.5
po_num_pre_owned_house_transactions_ewm_alpha0.5,1948849672.5
po_num_pre_owned_house_transactions_lag12,1911848302.0
search_peng_hu_qu_gai_zao_yi_dong_all_pctchg1,1890177893.0
search_fang_jia_shang_zhang_yi_dong_all_diff12,1865917462.0
imputed_nh_po_amt_ratio,1865469845.0
nh_area_per_unit_new_house_transactions_roll3_std,1837263887.5
search_shou_fu_pc_all,1829857857.0
search_fang_di_chan_shui_yi_dong_all_pctchg3,1760480058.0
search_an_zhi_pc_all_lag1,1758922567.0
nhnbr_price_new_house_transactions_nearby_sectors_diff1,1758341404.0
ponbr_area_pre_owned_house_transactions_nearby_sectors_roll3_std,1731386701.5
search_fang_chan_shui_yi_dong_all_pctchg1,1726572724.0
ponbr_amount_pre_owned_house_transactions_nearby_sectors_diff1,1720367546.5
search_gou_fang_pc_all_pctchg1,1710526640.5
nhnbr_period_new_house_sell_through_nearby_sectors_pctchg1,1703614065.0
nh_area_per_unit_new_house_transactions_lag3,1702778986.0
search_fang_di_chan_kai_fa_pc_all_pctchg3,1698250590.0
po_amount_pre_owned_house_transactions_ewm_alpha0.5,1694880402.5
nhnbr_price_new_house_transactions_nearby_sectors_pctchg1,1689838325.0
search_shou_fu_yi_dong_all,1681269693.0
nhnbr_price_new_house_transactions_nearby_sectors_roll6_std,1661343265.5
search_fang_wu_zhuang_xiu_yi_dong_all_lag1,1659516266.0
nhnbr_total_price_per_unit_new_house_transactions_nearby_sectors_pctchg3,1655641244.5
search_fang_di_chan_kai_fa_yi_dong_all_pctchg12,1654790577.0
po_price_pre_owned_house_transactions_diff1,1642317370.5
nh_area_new_house_available_for_sale_diff1,1573672281.0
nhnbr_amount_new_house_transactions_nearby_sectors_diff12,1572804307.5
search_gou_fang_pc_all,1571824331.0
nh_area_per_unit_new_house_transactions_pctchg3,1568461568.0
po_amount_pre_owned_house_transactions_pctchg3,1547441551.5
search_rong_zi_yi_dong_all,1542324232.0
nh_price_new_house_transactions_pctchg12,1542229333.5
search_dai_kuan_li_lv_pc_all_pctchg3,1540463141.0
search_peng_hu_qu_gai_zao_yi_dong_all_pctchg12,1532268962.0
ponbr_price_pre_owned_house_transactions_nearby_sectors_pctchg1,1508340094.5
search_fang_di_chan_shui_pc_all_pctchg1,1490158811.5
land_transaction_amount_ewm_alpha0.5,1478552382.5
search_mai_fang_yi_dong_all_pctchg3,1463502739.0
